source,source_short,native_variable,factor,physical_meaning,native_unit,output_name,output_unit,spatial_support,spatial_resolution,spatial_type,temporal_support,temporal_resolution,transformation,within_source_aggregation,harmonisation_rule,source_weight,dispatch_status,provider,dataset,reference,notes
farmwise_api.adapters.API_readers.irish_meteo.irish_ms_daily,irish_meteo.irish_ms_daily,precipitation [mm],precipitation,Precipitation total,,Precipitation total [mm],mm,,,point,,daily,,mean,weighted_mean,1.0,public,Met Éireann,,https://cli.fusio.net/cli/climate_data/webdata/,
farmwise_api.adapters.API_readers.wetterdienst.wetterdienst_dwd,wetterdienst.wetterdienst_dwd,precipitation_height,precipitation,Precipitation total,,Precipitation total [mm],mm,,,point,,none,,mean,weighted_mean,1.0,public,Deutscher Wetterdienst (DWD),DWD Climate Data Center/Open Data observations accessed through Wetterdienst,https://opendata.dwd.de/climate_environment/CDC/,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Humus [%],soil,Humus,,Humus [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Al [%],soil,Soil Al,,Soil Al [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Al [cmol(+)*kg-1],soil,Soil Al [cmol(+)*kg-1],,Soil Al [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Anthracene [µg*kg-1],soil,Soil Anthracene,,Soil Anthracene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil As [mg*kg-1],soil,Soil As,,Soil As [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Available Ammonium Nitrogen [NNH4 mg*kg-1],soil,Soil Available Ammonium Nitrogen,,Soil Available Ammonium Nitrogen [NNH4 mg*kg-1],NNH4 mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Available Magnesium [mg Mg*100g-1],soil,Soil Available Magnesium,,Soil Available Magnesium [mg Mg*100g-1],mg Mg*100g-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Available Nitrate Nitrogen [NNO3 mg*kg-1],soil,Soil Available Nitrate Nitrogen,,Soil Available Nitrate Nitrogen [NNO3 mg*kg-1],NNO3 mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Available Potassium [mg K2O*100g-1],soil,Soil Available Potassium,,Soil Available Potassium [mg K2O*100g-1],mg K2O*100g-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Available Sulphur [mg S-SO4*100g-1],soil,Soil Available Sulphur,,Soil Available Sulphur [mg S-SO4*100g-1],mg S-SO4*100g-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Ba [mg*kg-1],soil,Soil Ba,,Soil Ba [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Be [mg*kg-1],soil,Soil Be,,Soil Be [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(a)Anthracene [µg*kg-1],soil,Soil Benzo(a)Anthracene,,Soil Benzo(a)Anthracene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(a)Fluoranthene [µg*kg-1],soil,Soil Benzo(a)Fluoranthene,,Soil Benzo(a)Fluoranthene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(a)Pyrene [µg*kg-1],soil,Soil Benzo(a)Pyrene,,Soil Benzo(a)Pyrene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(b)Fluoranthene [µg*kg-1],soil,Soil Benzo(b)Fluoranthene,,Soil Benzo(b)Fluoranthene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(ghi)Perylene [µg*kg-1],soil,Soil Benzo(ghi)Perylene,,Soil Benzo(ghi)Perylene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Benzo(k)Fluoranthene [µg*kg-1],soil,Soil Benzo(k)Fluoranthene,,Soil Benzo(k)Fluoranthene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil C/N [-],soil,Soil C/N,,Soil C/N [-],-,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Ca [%],soil,Soil Ca,,Soil Ca [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Ca2+ [cmol(+)*kg-1],soil,Soil Ca2+ [cmol(+)*kg-1],,Soil Ca2+ [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil CaCo3 [%],soil,Soil CaCo3,,Soil CaCo3 [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Cd [mg*kg-1],soil,Soil Cd,,Soil Cd [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Chrysene [µg*kg-1],soil,Soil Chrysene,,Soil Chrysene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Co [mg*kg-1],soil,Soil Co,,Soil Co [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Cr [mg*kg-1],soil,Soil Cr,,Soil Cr [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Cu [mg*kg-1],soil,Soil Cu,,Soil Cu [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,"Soil Dibenzo(a,h)Anthracene [µg*kg-1]",soil,"Soil Dibenzo(a,h)Anthracene",,"Soil Dibenzo(a,h)Anthracene [µg*kg-1]",µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Electrical Conductivity [mS*m-1],soil,Soil Electrical Conductivity,,Soil Electrical Conductivity [mS*m-1],mS*m-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Fe [%],soil,Soil Fe,,Soil Fe [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Fluoranthene [µg*kg-1],soil,Soil Fluoranthene,,Soil Fluoranthene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Fluorene [µg*kg-1],soil,Soil Fluorene,,Soil Fluorene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: 0.05-0.002 mm [%],soil,Soil Granularity: 0.05-0.002 mm,,Soil Granularity: 0.05-0.002 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: 0.1-0.02 mm [%],soil,Soil Granularity: 0.1-0.02 mm,,Soil Granularity: 0.1-0.02 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: 1.0-0.1 mm [%],soil,Soil Granularity: 1.0-0.1 mm,,Soil Granularity: 1.0-0.1 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: 2.0-0.05 mm [%],soil,Soil Granularity: 2.0-0.05 mm,,Soil Granularity: 2.0-0.05 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: < 0.002 mm [%],soil,Soil Granularity: < 0.002 mm,,Soil Granularity: < 0.002 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Granularity: < 0.02 mm [%],soil,Soil Granularity: < 0.02 mm,,Soil Granularity: < 0.02 mm [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Hg [mg*kg-1],soil,Soil Hg,,Soil Hg [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Hh [cmol(+)*kg-1],soil,Soil Hh [cmol(+)*kg-1],,Soil Hh [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Hw [cmol(+)*kg-1],soil,Soil Hw [cmol(+)*kg-1],,Soil Hw [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,"Soil Indeno(1,2,3-cd)Pyrene [µg*kg-1]",soil,"Soil Indeno(1,2,3-cd)Pyrene",,"Soil Indeno(1,2,3-cd)Pyrene [µg*kg-1]",µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil K [%],soil,Soil K,,Soil K [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil K+ [cmol(+)*kg-1],soil,Soil K+ [cmol(+)*kg-1],,Soil K+ [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil La [mg*kg-1],soil,Soil La,,Soil La [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Li [mg*kg-1],soil,Soil Li,,Soil Li [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Mg [%],soil,Soil Mg,,Soil Mg [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Mg2+ [cmol(+)*kg-1],soil,Soil Mg2+ [cmol(+)*kg-1],,Soil Mg2+ [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Mn [mg*kg-1],soil,Soil Mn,,Soil Mn [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Na [%],soil,Soil Na,,Soil Na [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Na+ [cmol(+)*kg-1],soil,Soil Na+ [cmol(+)*kg-1],,Soil Na+ [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Naphthalene [µg*kg-1],soil,Soil Naphthalene,,Soil Naphthalene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Ni [mg*kg-1],soil,Soil Ni,,Soil Ni [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organic Carbon [%],soil,Soil Organic Carbon,,Soil Organic Carbon [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Aldrin [mg*kg-1],soil,Soil Organochlorine Pesticides Aldrin,,Soil Organochlorine Pesticides Aldrin [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Alfa-HCH [mg*kg-1],soil,Soil Organochlorine Pesticides Alfa-HCH,,Soil Organochlorine Pesticides Alfa-HCH [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Beta-HCH [mg*kg-1],soil,Soil Organochlorine Pesticides Beta-HCH,,Soil Organochlorine Pesticides Beta-HCH [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides DDT/DDE/DDD [mg*kg-1],soil,Soil Organochlorine Pesticides DDT/DDE/DDD,,Soil Organochlorine Pesticides DDT/DDE/DDD [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Dieldrin [mg*kg-1],soil,Soil Organochlorine Pesticides Dieldrin,,Soil Organochlorine Pesticides Dieldrin [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Endrin [mg*kg-1],soil,Soil Organochlorine Pesticides Endrin,,Soil Organochlorine Pesticides Endrin [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Organochlorine Pesticides Gamma-HCH [mg*kg-1],soil,Soil Organochlorine Pesticides Gamma-HCH,,Soil Organochlorine Pesticides Gamma-HCH [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil P [%],soil,Soil P,,Soil P [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil PAH Sum 13 [µg*kg-1],soil,Soil PAH Sum 13,,Soil PAH Sum 13 [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pb [mg*kg-1],soil,Soil Pb,,Soil Pb [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pesticides Non Chlorinated Compounds Atrazin [mg*kg-1],soil,Soil Pesticides Non Chlorinated Compounds Atrazin,,Soil Pesticides Non Chlorinated Compounds Atrazin [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pesticides Non Chlorinated Compounds Carbaryl [mg*kg-1],soil,Soil Pesticides Non Chlorinated Compounds Carbaryl,,Soil Pesticides Non Chlorinated Compounds Carbaryl [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pesticides Non Chlorinated Compounds Carbofuran [mg*kg-1],soil,Soil Pesticides Non Chlorinated Compounds Carbofuran,,Soil Pesticides Non Chlorinated Compounds Carbofuran [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pesticides Non Chlorinated Compounds Maneb [mg*kg-1],soil,Soil Pesticides Non Chlorinated Compounds Maneb,,Soil Pesticides Non Chlorinated Compounds Maneb [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Phenanthrene [µg*kg-1],soil,Soil Phenanthrene,,Soil Phenanthrene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Pyrene [µg*kg-1],soil,Soil Pyrene,,Soil Pyrene [µg*kg-1],µg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Radioactivity [Bq*kg-1],soil,Soil Radioactivity,,Soil Radioactivity [Bq*kg-1],Bq*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil S [%],soil,Soil S,,Soil S [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil S [cmol(+)*kg-1],soil,Soil S [cmol(+)*kg-1],,Soil S [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Salinity [mg KCl*100g-1],soil,Soil Salinity,,Soil Salinity [mg KCl*100g-1],mg KCl*100g-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Sr [mg*kg-1],soil,Soil Sr,,Soil Sr [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil T [cmol(+)*kg-1],soil,Soil T [cmol(+)*kg-1],,Soil T [cmol(+)*kg-1],,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Total Nitrogen [%],soil,Soil Total Nitrogen,,Soil Total Nitrogen [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil V [%],soil,Soil V,,Soil V [%],%,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil V [mg*kg-1],soil,Soil V,,Soil V [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil Zn [mg*kg-1],soil,Soil Zn,,Soil Zn [mg*kg-1],mg*kg-1,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil pH H2O [pH],soil,Soil pH H2O,,Soil pH H2O [pH],pH,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios.gios_scraper,gios.gios_scraper,Soil pH KCl [pH],soil,Soil pH KCl,,Soil pH KCl [pH],pH,,,point,,yearly,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,bdod,soil,Bulk density,,Bulk density [kg/dm3],kg/dm3,,,grid,,none,native integer / 100; layer bdod_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,cec,soil,Cation exchange capacity at pH 7 [cmol(c)/kg],,Cation exchange capacity at pH 7 [cmol(c)/kg],,,,grid,,none,native integer / 10; layer cec_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,cfvo,soil,Coarse fragments,,Coarse fragments [%],%,,,grid,,none,native integer / 10; layer cfvo_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,clay,soil,Clay content,,Clay content [%],%,,,grid,,none,native integer / 10; layer clay_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
farmwise_api.adapters.API_readers.soilgrids.soilgrids_call,soilgrids.soilgrids_call,nitrogen,soil,Total nitrogen,,Total nitrogen [g/kg],g/kg,,,grid,,none,native integer / 100; layer nitrogen_0-5cm_mean,mean,weighted_mean,1.0,public,ISRIC — World Soil Information,SoilGrids 2.0 predicted soil-property maps,https://soilgrids.org/,
