id,station_name,lat,lon,station_link,download_link,measuring_point_height
IE_NB_G_0014_2400_0004,KNOCKLAUN,54.30985358542974,-7.092761929293172,https://epawebapp.epa.ie/Hydronet/#IE_NB_G_0014_2400_0004,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NB_G_0014_2400_0004/GWL/complete_daymean.zip,131.503
IE_NB_G_0014_2400_0009,TONYSTACKAN (CLERKINS),54.31625589240731,-7.107987323943243,https://epawebapp.epa.ie/Hydronet/#IE_NB_G_0014_2400_0009,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NB_G_0014_2400_0009/GWL/complete_daymean.zip,167.183
IE_NB_G_0014_2400_0011,TYDAVNET GWS,54.311809965351934,-7.114229373071191,https://epawebapp.epa.ie/Hydronet/#IE_NB_G_0014_2400_0011,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NB_G_0014_2400_0011/GWL/complete_daymean.zip,147.816
IE_NB_G_0015_2100_0007,MUCHGRANGE FENCE,54.00786770452712,-6.1444902065948925,https://epawebapp.epa.ie/Hydronet/#IE_NB_G_0015_2100_0007,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NB_G_0015_2100_0007/GWL/complete_daymean.zip,24.366
IE_NW_G_0031_0200_0001,BAWN BOY WORKHOUSE,54.1205730886995,-7.67346849426407,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0031_0200_0001,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0031_0200_0001/GWL/complete_daymean.zip,67.344
IE_NW_G_0031_0200_0003,CLINTYGRIGNEY MORTONS,54.071579461647325,-7.592588850018774,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0031_0200_0003,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0031_0200_0003/GWL/complete_daymean.zip,74.615
IE_NW_G_0051_0600_0007,GO1 Deep,55.00431124777845,-7.442798464303358,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0051_0600_0007,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0051_0600_0007/GWL/complete_daymean.zip,176.275
IE_NW_G_0051_0600_0008,GO1 Shallow,55.00434681802317,-7.442719831836078,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0051_0600_0008,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0051_0600_0008/GWL/complete_daymean.zip,175.903
IE_NW_G_0051_0600_0009,GO1 Transition,55.00438231658815,-7.442625572387429,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0051_0600_0009,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0051_0600_0009/GWL/complete_daymean.zip,176.191
IE_NW_G_0051_0600_0013,GO2 Transition,55.000112750802224,-7.440059603663588,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0051_0600_0013,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0051_0600_0013/GWL/complete_daymean.zip,90.314
IE_NW_G_0063_2400_0005,MAGHERARNEY GWL,54.212103796187634,-7.116365067849001,https://epawebapp.epa.ie/Hydronet/#IE_NW_G_0063_2400_0005,https://epawebapp.epa.ie/Hydronet/output/internet/stations/MON/IE_NW_G_0063_2400_0005/GWL/complete_daymean.zip,57.146
IE_SE_G_0021_1500_0017,RATHDUFF,52.53926116405414,-7.2541606845719615,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0021_1500_0017,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0021_1500_0017/GWL/complete_daymean.zip,44.592
IE_SE_G_0038_1500_0016,PUB IN PIKE,52.64227094210575,-7.191043755545572,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0038_1500_0016,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0038_1500_0016/GWL/complete_daymean.zip,65.542
IE_SE_G_0040_3700_0006,LAFFANSBRIDGE,52.572900466926406,-7.718681718647581,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0040_3700_0006,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0040_3700_0006/GWL/complete_daymean.zip,119.106
IE_SE_G_0064_3300_0008,MAYGLASS,52.245676377961665,-6.535426958748938,https://epawebapp.epa.ie/Hydronet/#IE_SE_G_0064_3300_0008,https://epawebapp.epa.ie/Hydronet/output/internet/stations/KIK/IE_SE_G_0064_3300_0008/GWL/complete_daymean.zip,14.046
