timestamp,cell,variable,source,value,scenario,region,period,level
2018-01-17,CellId: 47a3500000000000,temperature,DWD,0.8,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-18,CellId: 47a3500000000000,temperature,DWD,3.4000000000000004,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-19,CellId: 47a3500000000000,temperature,DWD,1.45,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-20,CellId: 47a3500000000000,temperature,DWD,1.25,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-21,CellId: 47a3500000000000,temperature,DWD,0.35000000000000003,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-22,CellId: 47a3500000000000,temperature,DWD,1.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-23,CellId: 47a3500000000000,temperature,DWD,5.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-24,CellId: 47a3500000000000,temperature,DWD,8.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-25,CellId: 47a3500000000000,temperature,DWD,8.65,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-26,CellId: 47a3500000000000,temperature,DWD,5.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-27,CellId: 47a3500000000000,temperature,DWD,2.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-28,CellId: 47a3500000000000,temperature,DWD,4.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-29,CellId: 47a3500000000000,temperature,DWD,7.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-30,CellId: 47a3500000000000,temperature,DWD,2.85,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-31,CellId: 47a3500000000000,temperature,DWD,5.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-01,CellId: 47a3700000000000,temperature,DWD,4.8999999999999995,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-02,CellId: 47a3700000000000,temperature,DWD,2.3000000000000003,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-03,CellId: 47a3700000000000,temperature,DWD,3.8666666666666667,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-04,CellId: 47a3700000000000,temperature,DWD,4.566666666666666,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-05,CellId: 47a3700000000000,temperature,DWD,5.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-06,CellId: 47a3700000000000,temperature,DWD,4.866666666666666,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-07,CellId: 47a3700000000000,temperature,DWD,1.1333333333333335,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-08,CellId: 47a3700000000000,temperature,DWD,0.6333333333333333,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-09,CellId: 47a3700000000000,temperature,DWD,1.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-10,CellId: 47a3700000000000,temperature,DWD,2.8333333333333335,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-11,CellId: 47a3700000000000,temperature,DWD,2.3333333333333335,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-12,CellId: 47a3700000000000,temperature,DWD,2.066666666666667,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-13,CellId: 47a3700000000000,temperature,DWD,0.9333333333333332,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-14,CellId: 47a3700000000000,temperature,DWD,-1.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-15,CellId: 47a3700000000000,temperature,DWD,-1.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-16,CellId: 47a3700000000000,temperature,DWD,1.5666666666666667,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-17,CellId: 47a3700000000000,temperature,DWD,-0.4333333333333333,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-18,CellId: 47a3700000000000,temperature,DWD,1.7666666666666666,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-19,CellId: 47a3700000000000,temperature,DWD,-0.06666666666666658,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-20,CellId: 47a3700000000000,temperature,DWD,-0.36666666666666675,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-21,CellId: 47a3700000000000,temperature,DWD,-0.9333333333333335,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-22,CellId: 47a3700000000000,temperature,DWD,-0.6,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-23,CellId: 47a3700000000000,temperature,DWD,2.966666666666667,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-24,CellId: 47a3700000000000,temperature,DWD,5.8999999999999995,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-25,CellId: 47a3700000000000,temperature,DWD,6.800000000000001,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-26,CellId: 47a3700000000000,temperature,DWD,4.166666666666667,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-27,CellId: 47a3700000000000,temperature,DWD,2.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-28,CellId: 47a3700000000000,temperature,DWD,4.233333333333333,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-29,CellId: 47a3700000000000,temperature,DWD,6.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-30,CellId: 47a3700000000000,temperature,DWD,1.9000000000000001,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-31,CellId: 47a3700000000000,temperature,DWD,3.8000000000000003,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-01,CellId: 47a4900000000000,temperature,DWD,6.75,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-02,CellId: 47a4900000000000,temperature,DWD,3.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-03,CellId: 47a4900000000000,temperature,DWD,5.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-04,CellId: 47a4900000000000,temperature,DWD,6.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-05,CellId: 47a4900000000000,temperature,DWD,7.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-06,CellId: 47a4900000000000,temperature,DWD,5.45,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-07,CellId: 47a4900000000000,temperature,DWD,1.8499999999999999,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-08,CellId: 47a4900000000000,temperature,DWD,0.04999999999999999,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-09,CellId: 47a4900000000000,temperature,DWD,0.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-10,CellId: 47a4900000000000,temperature,DWD,2.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-11,CellId: 47a4900000000000,temperature,DWD,3.45,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-12,CellId: 47a4900000000000,temperature,DWD,3.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-13,CellId: 47a4900000000000,temperature,DWD,1.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-14,CellId: 47a4900000000000,temperature,DWD,-0.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-15,CellId: 47a4900000000000,temperature,DWD,0.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-16,CellId: 47a4900000000000,temperature,DWD,3.35,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-17,CellId: 47a4900000000000,temperature,DWD,1.05,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-18,CellId: 47a4900000000000,temperature,DWD,3.4000000000000004,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-19,CellId: 47a4900000000000,temperature,DWD,1.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-20,CellId: 47a4900000000000,temperature,DWD,1.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-21,CellId: 47a4900000000000,temperature,DWD,0.1,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-22,CellId: 47a4900000000000,temperature,DWD,1.1,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-23,CellId: 47a4900000000000,temperature,DWD,5.1,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-24,CellId: 47a4900000000000,temperature,DWD,8.850000000000001,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-25,CellId: 47a4900000000000,temperature,DWD,8.65,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-26,CellId: 47a4900000000000,temperature,DWD,5.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-27,CellId: 47a4900000000000,temperature,DWD,3.05,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-28,CellId: 47a4900000000000,temperature,DWD,6.25,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-29,CellId: 47a4900000000000,temperature,DWD,8.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-30,CellId: 47a4900000000000,temperature,DWD,3.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-31,CellId: 47a4900000000000,temperature,DWD,5.65,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-01,CellId: 47a4b00000000000,temperature,DWD,6.75,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-02,CellId: 47a4b00000000000,temperature,DWD,4.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-03,CellId: 47a4b00000000000,temperature,DWD,6.25,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-04,CellId: 47a4b00000000000,temperature,DWD,6.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-05,CellId: 47a4b00000000000,temperature,DWD,7.45,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-06,CellId: 47a4b00000000000,temperature,DWD,4.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-07,CellId: 47a4b00000000000,temperature,DWD,2.6,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-08,CellId: 47a4b00000000000,temperature,DWD,0.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-09,CellId: 47a4b00000000000,temperature,DWD,1.65,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-10,CellId: 47a4b00000000000,temperature,DWD,2.6,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-11,CellId: 47a4b00000000000,temperature,DWD,3.75,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-12,CellId: 47a4b00000000000,temperature,DWD,4.449999999999999,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-13,CellId: 47a4b00000000000,temperature,DWD,2.4000000000000004,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-14,CellId: 47a4b00000000000,temperature,DWD,0.09999999999999998,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-15,CellId: 47a4b00000000000,temperature,DWD,0.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-16,CellId: 47a4b00000000000,temperature,DWD,3.6999999999999997,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-17,CellId: 47a4b00000000000,temperature,DWD,1.45,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-18,CellId: 47a4b00000000000,temperature,DWD,3.55,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-19,CellId: 47a4b00000000000,temperature,DWD,1.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-20,CellId: 47a4b00000000000,temperature,DWD,1.5499999999999998,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-21,CellId: 47a4b00000000000,temperature,DWD,0.8,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-22,CellId: 47a4b00000000000,temperature,DWD,1.8,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-23,CellId: 47a4b00000000000,temperature,DWD,5.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-24,CellId: 47a4b00000000000,temperature,DWD,9.15,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-25,CellId: 47a4b00000000000,temperature,DWD,8.75,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-26,CellId: 47a4b00000000000,temperature,DWD,5.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-27,CellId: 47a4b00000000000,temperature,DWD,3.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-28,CellId: 47a4b00000000000,temperature,DWD,6.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-29,CellId: 47a4b00000000000,temperature,DWD,8.95,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-30,CellId: 47a4b00000000000,temperature,DWD,3.25,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-31,CellId: 47a4b00000000000,temperature,DWD,5.65,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-01,CellId: 47a4f00000000000,temperature,DWD,5.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-02,CellId: 47a4f00000000000,temperature,DWD,2.6,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-03,CellId: 47a4f00000000000,temperature,DWD,5.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-04,CellId: 47a4f00000000000,temperature,DWD,5.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-05,CellId: 47a4f00000000000,temperature,DWD,6.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-06,CellId: 47a4f00000000000,temperature,DWD,4.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-07,CellId: 47a4f00000000000,temperature,DWD,0.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-08,CellId: 47a4f00000000000,temperature,DWD,-0.8,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-09,CellId: 47a4f00000000000,temperature,DWD,1.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-10,CellId: 47a4f00000000000,temperature,DWD,3.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-11,CellId: 47a4f00000000000,temperature,DWD,3.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-12,CellId: 47a4f00000000000,temperature,DWD,2.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-13,CellId: 47a4f00000000000,temperature,DWD,0.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-14,CellId: 47a4f00000000000,temperature,DWD,-0.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-15,CellId: 47a4f00000000000,temperature,DWD,0.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-16,CellId: 47a4f00000000000,temperature,DWD,2.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-17,CellId: 47a4f00000000000,temperature,DWD,0.2,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-18,CellId: 47a4f00000000000,temperature,DWD,2.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-19,CellId: 47a4f00000000000,temperature,DWD,0.4,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-20,CellId: 47a4f00000000000,temperature,DWD,0.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-21,CellId: 47a4f00000000000,temperature,DWD,-1.1,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-22,CellId: 47a4f00000000000,temperature,DWD,0.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-23,CellId: 47a4f00000000000,temperature,DWD,4.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-24,CellId: 47a4f00000000000,temperature,DWD,8.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-25,CellId: 47a4f00000000000,temperature,DWD,7.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-26,CellId: 47a4f00000000000,temperature,DWD,5.1,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-27,CellId: 47a4f00000000000,temperature,DWD,3.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-28,CellId: 47a4f00000000000,temperature,DWD,5.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-29,CellId: 47a4f00000000000,temperature,DWD,8.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-30,CellId: 47a4f00000000000,temperature,DWD,2.9,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-31,CellId: 47a4f00000000000,temperature,DWD,5.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-01,CellId: 47a3100000000000,precipitation,DWD,12.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-02,CellId: 47a3100000000000,precipitation,DWD,6.6,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-03,CellId: 47a3100000000000,precipitation,DWD,14.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-04,CellId: 47a3100000000000,precipitation,DWD,3.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-05,CellId: 47a3100000000000,precipitation,DWD,8.8,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-06,CellId: 47a3100000000000,precipitation,DWD,11.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-07,CellId: 47a3100000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-08,CellId: 47a3100000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-09,CellId: 47a3100000000000,precipitation,DWD,0.7,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-10,CellId: 47a3100000000000,precipitation,DWD,0.5,cross-source-germany-meteo-january-l8,germany-meteo,January,8
2018-01-11,CellId: 47a3100000000000,precipitation,DWD,0.3,cross-source-germany-meteo-january-l8,germany-meteo,January,8
